Anglican,Nonconformist
Anglophilia,Anglophobia
Anglophobia,Anglophilia
Arianism,Athanasianism
Athanasianism,Arianism
Cryptogamia,Phanerogamae
Heaven,Hell
Hell,Heaven
Lady,Lord
Lady,nobleman
Lord,Lady
Lord,noblewoman
Nonconformist,Anglican
Phanerogamae,Cryptogamia
Romanticism,classicism
abactinal,actinal
abaxial,adaxial
abaxially,adaxially
abducent,adducent
abduct,adduct
abience,adience
abient,adient
ability,inability
ability,inability
able,unable
abnormal,normal
abnormal,normal
abnormality,normality
abolish,establish
aborad,orad
aboral,oral
above,below
above,below
abranchiate,branchiate
abridge,expand
abridged,unabridged
abruptness,gradualness
absence,presence
absence,presence
absent,present
absolute,relative
absolve,blame
absorb,emit
absorbable,adsorbable
absorbency,nonabsorbency
absorbent,nonabsorbent
abstain,consume
abstainer,drinker
abstemious,gluttonous
abstract,concrete
abstractly,concretely
abstractness,concreteness
abundance,scarcity
abundant,scarce
abused,unabused
acarpelous,carpellate
acatalectic,catalectic
acatalectic,hypercatalectic
acaudate,caudate
acaulescent,caulescent
accelerate,decelerate
accelerate,decelerate
acceleration,deceleration
acceleration,deceleration
acceleration,deceleration
accentual,quantitative
accentual,syllabic
accept,refuse
accept,refuse
accept,reject
acceptability,unacceptability
acceptable,unacceptable
acceptably,intolerably
acceptably,unacceptably
acceptance,rejection
acceptive,rejective
accessible,inaccessible
accommodating,unaccommodating
accompanied,unaccompanied
accompanied,unaccompanied
accordant,discordant
accuracy,inaccuracy
accurate,inaccurate
accurately,inaccurately
accusatorial,inquisitorial
accustomed,unaccustomed
achiever,loser
achlamydeous,chlamydeous
achondritic,chondritic
achromatic,chromatic
achromatinic,chromatinic
acid-loving,alkaline-loving
acidic,alkaline
acidic,amphoteric
acidify,alkalize
acidity,alkalinity
acknowledged,unacknowledged
acquaintance,stranger
acquaintance,stranger
acquire,lose
acquisitive,unacquisitive
acquit,convict
acquittal,conviction
acrocarp,pleurocarp
acrocarpous,pleurocarpous
acropetal,basipetal
acroscopic,basiscopic
act,refrain
actable,unactable
actinal,abactinal
actinomorphic,zygomorphic
action,inaction
action,inactiveness
action,inactivity
activate,inactivate
activation,deactivation
activation,inactivation
activator,inhibitor
active,dormant
active,extinct
active,inactive
active,inactive
active,inactive
active,inactive
active,inactive
active,passive
active,passive
active,quiet
active,stative
actively,passively
activeness,inactiveness
activity,inactivity
actual,potential
acute,chronic
acute,obtuse
acutely,chronically
acuteness,obtuseness
acyclic,cyclic
acyclic,cyclic
adaptability,unadaptability
adaptable,unadaptable
adaptive,maladaptive
adaxial,abaxial
adaxially,abaxially
add,subtract
addicted,unaddicted
addictive,nonaddictive
addition,subtraction
additive,subtractive
addressed,unaddressed
adducent,abducent
adduct,abduct
adequacy,inadequacy
adequate,inadequate
adequately,inadequately
adhesive,nonadhesive
adiabatic,diabatic
adience,abience
adient,abient
adjective,substantive
adjusted,maladjusted
adjusted,unadjusted
admissibility,inadmissibility
admissible,inadmissible
admit,deny
admit,exclude
admit,reject
adnate,connate
adoptable,unadoptable
adopted,native
adoptive,biological
adorned,unadorned
adroit,maladroit
adroitly,maladroitly
adscript,subscript
adscript,superscript
adsorbable,absorbable
adsorbent,nonadsorbent
adult,juvenile
adulterating,purifying
advance,back
advance,recede
advantage,disadvantage
advantage,disadvantage
advantage,penalty
advantageous,disadvantageous
adventurous,unadventurous
adversary,agonist
advisability,inadvisability
advisable,inadvisable
aerobic,anaerobic
aerobic,anaerobic
aesthetic,inaesthetic
afebrile,febrile
affected,unaffected
affected,unaffected
affectedness,unaffectedness
afferent,efferent
affinity,consanguinity
affirmation,reversal
affirmative,negative
affirmative,negative
affixed,unaffixed
afloat,aground
afraid,unafraid
aft,fore
aft,fore
age,rejuvenate
aged,young
aggrade,degrade
aggressive,unaggressive
agitate,calm
agitated,unagitated
agitated,unagitated
agitation,calmness
agnostic,gnostic
agonist,antagonist
agree,disagree
agreeable,disagreeable
agreeableness,disagreeableness
agreeableness,disagreeableness
agreement,disagreement
agreement,disagreement
aground,afloat
ahead,back
ahead,backward
ahistorical,historical
air-to-air,air-to-surface
air-to-air,surface-to-air
air-to-surface,air-to-air
air-to-surface,surface-to-air
airworthy,unairworthy
alarming,unalarming
alcoholic,nonalcoholic
alert,unalert
algorithmic,heuristic
alienable,inalienable
align,skew
aligned,nonaligned
alike,unalike
aliquant,aliquot
aliquot,aliquant
alive,dead
alkaline,acidic
alkaline,amphoteric
alkaline-loving,acid-loving
alkalinity,acidity
alkalize,acidify
all,no
all,some
alliance,nonalignment
allochthonous,autochthonous
allogamy,autogamy
allogeneic,xenogeneic
allopathic,homeopathic
allopathy,homeopathy
allopatric,sympatric
allopatry,sympatry
allow,deny
ally,foe
alphabetic,analphabetic
alphabetic,analphabetic
alterability,unalterability
alterable,unalterable
altered,unaltered
alternate,opposite
alternating,direct
altricial,precocial
altruism,egoism
altruistic,egoistic
always,never
amateur,professional
amateurishly,expertly
ambidextrous,left-handed
ambidextrous,right-handed
ambiguity,unambiguity
ambiguity,unequivocalness
ambiguous,unambiguous
ambiguously,unambiguously
ambitious,unambitious
ambitiously,unambitiously
ambiversion,extraversion
ambiversion,introversion
ambiversive,extroversive
ambiversive,introversive
amended,unamended
ametabolic,metabolic
ametropic,emmetropic
amicable,hostile
amphibious,aquatic
amphibious,terrestrial
amphitropous,anatropous
amphoteric,acidic
amphoteric,alkaline
ample,meager
amply,meagerly
amply,meagerly
anabatic,katabatic
anabolic,catabolic
anabolism,catabolism
anaclinal,cataclinal
anadromous,catadromous
anadromous,diadromous
anaerobic,aerobic
anaerobic,aerobic
anal,oral
analogous,heterologous
analogous,homologous
analogue,digital
analphabetic,alphabetic
analphabetic,alphabetic
analysis,synthesis
analytic,synthetic
analytic,synthetic
analytic,synthetic
analyze,synthesize
analyzed,unanalyzed
anamorphism,katamorphism
anaphrodisia,aphrodisia
anaphrodisiac,aphrodisiac
anapsid,diapsid
anastalsis,peristalsis
anastigmatic,astigmatic
anatropous,amphitropous
ancestor,descendant
androgynous,female
androgynous,male
anemophilous,entomophilous
anestrous,estrous
anestrus,estrus
angry,unangry
angular,rounded
angularity,roundness
anhydrous,hydrous
animate,inanimate
animate,inanimate
animated,unanimated
animateness,inanimateness
anionic,cationic
anisotropic,isotropic
anisotropy,isotropy
annual,biennial
annual,perennial
anode,cathode
anode,cathode
anodic,cathodic
anonymous,onymous
anovulation,ovulation
answer,question
antagonist,synergist
antagonistic,conciliatory
antagonistic,synergistic
antapex,apex
antecedent,subsequent
antemeridian,postmeridian
antemortem,postmortem
anterior,posterior
anteriority,posteriority
anterograde,retrograde
anti,pro
anti-American,pro-American
anticatalyst,catalyst
anticholinergic,cholinergic
anticlimactic,climactic
anticlinal,synclinal
anticyclone,cyclone
antimagnetic,magnetic
antinode,node
antipyretic,pyretic
antiseptic,septic
antitype,type
antonym,synonym
antonymous,synonymous
antrorse,retrorse
aperiodic,periodic
apetalous,petalous
apex,antapex
aphelion,perihelion
aphrodisia,anaphrodisia
aphrodisiac,anaphrodisiac
aplacental,placental
apoapsis,periapsis
apocarpous,syncarpous
apocrine,eccrine
apogee,perigee
apojove,perijove
apologetic,unapologetic
apophatism,cataphatism
aposelene,perilune
aposelene,periselene
appealable,unappealable
appealing,unappealing
appealingly,unappealingly
appear,disappear
appear,disappear
appearance,disappearance
appearance,disappearance
appendaged,unappendaged
appetizing,unappetizing
appetizingness,unappetizingness
applaud,boo
applicability,inapplicability
applied,theoretical
appointive,elective
appreciate,depreciate
appreciate,depreciate
appreciation,depreciation
appreciatively,unappreciatively
appreciatively,ungratefully
approachability,unapproachability
approachable,unapproachable
approbate,reprobate
approbation,disapprobation
appropriate,inappropriate
appropriately,inappropriately
appropriately,unsuitably
appropriateness,inappropriateness
appropriateness,inappropriateness
approval,disapproval
approval,disapproval
approve,disapprove
approve,disapprove
approvingly,disapprovingly
apropos,malapropos
apteral,peripteral
aptitude,inaptitude
aptness,inappositeness
aptness,inaptness
aquatic,amphibious
aquatic,terrestrial
aqueous,igneous
arbitrable,nonarbitrable
arbitrary,nonarbitrary
arboreal,nonarboreal
arenaceous,argillaceous
argillaceous,arenaceous
argumentative,unargumentative
arm,disarm
armed,armless
armed,unarmed
armed,unarmed
arming,disarmament
arming,disarming
armless,armed
armored,unarmored
armored,unarmored
arrange,disarrange
arranged,disarranged
arrive,leave
artesian,subartesian
artful,artless
artfulness,artlessness
articulate,inarticulate
articulated,unarticulated
articulately,inarticulately
artificial,natural
artificially,naturally
artless,artful
artlessness,artfulness
ascend,descend
ascending,descending
ascent,descent
asexual,sexual
ashamed,unashamed
ashamedly,unashamedly
asleep,awake
asperity,dullness
assemble,disassemble
assembly,disassembly
assent,dissent
assertive,unassertive
assertively,unassertively
asset,liability
assigned,unassigned
assimilate,dissimilate
assimilate,dissimilate
assimilate,dissimilate
assisted,unassisted
associate,dissociate
association,disassociation
associative,nonassociative
astigmatic,anastigmatic
astigmatism,stigmatism
astomatous,stomatous
astringent,nonastringent
asymmetrical,symmetrical
asymmetrically,symmetrically
asymmetry,symmetry
asynchronism,synchronism
asynchronism,synchronization
asynchronism,synchronizing
asynchronous,synchronous
asynchronous,synchronous
asyndetic,syndetic
atheism,theism
atomism,holism
atomistic,holistic
atonal,tonal
atonality,tonality
atonic,tonic
atonicity,tonicity
atrophied,hypertrophied
attach,detach
attach,detach
attachable,detachable
attached,detached
attached,unattached
attack,defend
attend,miss
attendance,nonattendance
attention,inattention
attentive,inattentive
attentiveness,inattentiveness
attentiveness,inattentiveness
attract,repel
attract,repel
attraction,repulsion
attractive,repulsive
attractive,unattractive
attractiveness,unattractiveness
attributable,unattributable
attributive,predicative
atypical,typical
atypicality,typicality
atypically,typically
audibility,inaudibility
audible,inaudible
audibly,inaudibly
augmentation,diminution
aunt,uncle
auspicious,inauspicious
auspiciously,inauspiciously
auspiciously,unpropitiously
auspiciousness,inauspiciousness
auspiciousness,unpropitiousness
authorized,unauthorized
autochthonous,allochthonous
autoecious,heteroecious
autogamous,endogamous
autogamous,exogamous
autogamy,allogamy
autogenous,heterogenous
autologous,heterologous
autologous,homologous
automatic,manual
autotrophic,heterotrophic
autumnal,summery
autumnal,vernal
autumnal,wintry
available,unavailable
avascular,vascular
avenged,unavenged
avirulent,virulent
avoid,confront
avow,disavow
awake,asleep
awakened,unawakened
aware,unaware
awareness,incognizance
away,home
awed,unawed
awkward,graceful
awkwardness,gracefulness
awned,awnless
awnless,awned
azonal,zonal
back,advance
back,ahead
back,forward
back,forward
back,front
back,front
back,front
back,veer
backed,backless
background,foreground
backhand,forehand
backless,backed
backward,forward
backward,forward
bad,good
bad,good
bad,goodness
badly,advantageously
badly,well
badly,well
badly,well
balance,imbalance
balance,unbalance
balanced,unbalanced
balconied,unbalconied
banded,unbanded
baptized,unbaptized
bar,unbar
bare,covered
barreled,unbarreled
basic,incidental
basipetal,acropetal
basiscopic,acroscopic
beaked,beakless
beakless,beaked
bear,bull
bearing,nonbearing
beautiful,ugly
beautifully,unattractively
beauty,ugliness
becomingness,unbecomingness
bedded,bedless
bedless,bedded
begin,end
begin,end
beginning,end
beginning,end
beginning,ending
beginning,finish
beginning,middle
beginning,middle
begrudge,wish
behave,misbehave
being,nonbeing
being,nonexistence
belief,unbelief
believably,unbelievably
believably,unbelievably
believe,disbelieve
bellied,bellyless
bellyless,bellied
below,above
below,above
belt,unbelt
belted,unbelted
bend,straighten
beneficed,unbeneficed
beneficence,maleficence
beneficence,maleficence
beneficent,maleficent
benevolence,malevolence
benevolently,malevolently
benign,malign
benign,malignant
benignity,malignancy
benignity,malignity
bequeath,disinherit
beseeching,imperative
best,worst
best,worst
better,worse
better,worse
better,worsen
better,worsen
bettering,worsening
bibbed,bibless
bibless,bibbed
bicameral,unicameral
bidirectional,unidirectional
biennial,annual
biennial,perennial
big,small
bimodal,unimodal
binaural,monaural
binaurally,monaurally
bind,unbind
binucleate,mononuclear
binucleate,trinucleate
biological,adoptive
bipedal,quadruped
bipedal,quadrupedal
bipolar,unipolar
birth,death
birth,death
bisexual,heterosexual
bisexual,homosexual
bivalent,multivalent
bivalent,univalent
bivalve,univalve
black,white
black,white
black,white
black,white
black-and-white,color
blacken,whiten
blame,absolve
blemished,unblemished
blended,unblended
bless,curse
blessed,cursed
blessing,disapproval
blind,sighted
blond,brunet
bloodily,bloodlessly
bloodless,bloody
bloodlessly,bloodily
bloody,bloodless
blue-collar,white-collar
blur,focus
blur,focus
blur,focus
boarding,disembarkation
bodied,unbodied
boil,freeze
bold,timid
boldness,timidity
bolt,unbolt
boneless,bony
bony,boneless
boo,applaud
bordered,unbordered
bore,interest
born,unborn
borrow,lend
borrower,lender
bottle-fed,breast-fed
bottlefeed,breastfeed
bottom,side
bottom,top
bottom,top
bottom-up,top-down
bottomed,bottomless
bottomless,bottomed
bounce,clear
bound,free
bound,unbound
bound,unbound
bowed,plucked
box,unbox
boycott,patronise
boycott,patronize
brachycephalic,dolichocephalic
bracteate,ebracteate
braid,unbraid
brainwashed,unbrainwashed
branchiate,abranchiate
branchless,branchy
branchy,branchless
branded,unbranded
brave,cowardly
brave,timid
break,make
break,repair
breakable,unbreakable
breakableness,unbreakableness
breast-fed,bottle-fed
breasted,breastless
breastfeed,bottlefeed
breastless,breasted
breathing,breathless
breathless,breathing
bridgeable,unbridgeable
bridle,unbridle
bright,dull
brighten,darken
brightness,dullness
broad-minded,narrow-minded
broad-mindedly,narrow-mindedly
broad-mindedness,narrow-mindedness
broadly,narrowly
broken,unbroken
broken,unbroken
broken,unbroken
brother,sister
brotherly,sisterly
brunet,blond
buckle,unbuckle
bull,bear
burden,unburden
burdened,unburdened
buried,unburied
busy,idle
button,unbutton
buttoned,unbuttoned
buy,sell
cacodemon,eudemon
cacophonous,euphonious
caducous,persistent
calced,discalced
calcicolous,calcifugous
calcifugous,calcicolous
calcify,decalcify
calculable,incalculable
calm,agitate
calm,stormy
calmness,agitation
camphorated,uncamphorated
campylotropous,orthotropous
capability,incapability
capability,incapability
capability,incapableness
capable,incapable
capable,incapable
capacity,incapacity
capacity,incapacity
capital,lowercase
capitalism,socialism
capitalistic,socialistic
captor,liberator
cardinal,ordinal
cared-for,uncared-for
careful,careless
carefulness,carelessness
careless,careful
carelessness,carefulness
carinate,ratite
carnivorous,herbivorous
carnivorous,insectivorous
carnivorous,omnivorous
carpellate,acarpelous
carpeted,uncarpeted
carved,uncarved
carvel-built,clinker-built
cash,credit
castrated,uncastrated
catabolic,anabolic
catabolism,anabolism
cataclinal,anaclinal
catadromous,anadromous
catadromous,diadromous
catalectic,acatalectic
catalectic,hypercatalectic
catalyst,anticatalyst
cataphatism,apophatism
catarrhine,leptorrhine
catarrhine,platyrrhine
categorem,syncategorem
categorem,syncategoreme
categorematic,syncategorematic
cathode,anode
cathode,anode
cathodic,anodic
cationic,anionic
caudal,cephalic
caudate,acaudate
caulescent,acaulescent
cauline,radical
caulked,uncaulked
causative,noncausative
caution,incaution
cautious,incautious
cautiously,carelessly
cautiously,incautiously
ceilinged,floored
cellular,noncellular
cenobite,eremite
cenobitic,eremitic
cenogenesis,palingenesis
cenogenetic,palingenetic
censored,uncensored
center,left
center,right
central,peripheral
centrality,marginality
centralization,decentralization
centralize,decentralise
centralize,decentralize
centralize,deconcentrate
centralized,decentralized
centralizing,decentralizing
centrally,peripherally
centrifugal,centripetal
centripetal,centrifugal
cephalic,caudal
cerebral,emotional
ceremoniously,unceremoniously
ceremoniousness,unceremoniousness
certain,uncertain
certain,uncertain
certain,uncertain
certain,unsure
certainty,uncertainty
certainty,uncertainty
certification,disenfranchisement
certified,uncertified
chain,unchain
change,stay
changeable,unchangeable
changeableness,changelessness
changed,unchanged
changelessness,changeableness
characteristic,uncharacteristic
characteristically,uncharacteristically
charge,discharge
charged,uncharged
charitable,uncharitable
chartered,unchartered
chaste,unchaste
cheap,expensive
cheaply,expensively
cheer,complain
cheer,dishearten
cheerful,depressing
cheerfully,cheerlessly
cheerfulness,cheerlessness
cheerfulness,uncheerfulness
cheerlessly,cheerfully
cheerlessness,cheerfulness
child,parent
chlamydeous,achlamydeous
cholinergic,anticholinergic
chondritic,achondritic
christian,unchristian
chromatic,achromatic
chromatic,diatonic
chromatinic,achromatinic
chronic,acute
chronically,acutely
cismontane,tramontane
citizen,noncitizen
civil,sidereal
civil,uncivil
civilian,military
civilian,serviceman
civility,incivility
civilized,noncivilized
civilly,uncivilly
claim,disclaim
claim,disclaim
claim,forfeit
clarify,obfuscate
clarity,obscurity
clarity,unclearness
clasp,unclasp
clasp,unclasp
classical,nonclassical
classicism,Romanticism
classicist,romanticist
classification,declassification
classified,unclassified
classified,unclassified
classify,declassify
clean,dirty
clean,dirty
clean,dirty
clean,dirty
clean,unclean
cleanliness,uncleanliness
cleanness,dirtiness
clear,bounce
clear,cloudy
clear,opaque
clear,unclear
cleared,uncleared
clearheaded,confused
clearness,opacity
clement,inclement
clement,inclement
clergy,laity
clergyman,layman
climactic,anticlimactic
clinker-built,carvel-built
clip,unclip
clockwise,counterclockwise
clockwise,counterclockwise
clog,unclog
close,distant
close,distant
close,open
close,open
close,open
close,open
closed,open
closed,open
closed,open
closeness,openness
closing,opening
clothed,unclothed
cloudy,clear
clutter,unclutter
coarse,fine
coarsely,finely
coastal,inland
coated,uncoated
coherence,incoherence
coherent,incoherent
coherent,incoherent
coherently,incoherently
coil,uncoil
coiled,uncoiled
cold,hot
cold,hot
cold-blooded,warm-blooded
coldhearted,warmhearted
coldness,hotness
collapsible,noncollapsible
collateral,lineal
collected,uncollected
collected,ungathered
collective,distributive
colonize,decolonise
colonize,decolonize
color,black-and-white
color,colorlessness
color,discolor
colored,uncolored
colorful,colorless
colorful,colorless
colorful,colourless
colorless,colorful
colorless,colorful
colorless,colourful
colorlessness,color
columned,noncolumned
combed,uncombed
combinative,noncombinative
combined,uncombined
combustible,noncombustible
come,go
comedy,tragedy
comfort,discomfort
comfortable,uncomfortable
comfortable,uncomfortable
comfortably,uncomfortably
commensurate,incommensurate
commercial,noncommercial
commissioned,noncommissioned
committed,uncommitted
commodious,incommodious
common,individual
common,uncommon
commonality,individuality
commonness,uncommonness
communicate,excommunicate
communicative,uncommunicative
communicativeness,uncommunicativeness
commutable,incommutable
compact,loose
comparable,incomparable
comparably,incomparably
compartmented,uncompartmented
compassionate,uncompassionate
compatibility,incompatibility
compatible,incompatible
compatible,incompatible
compatibly,incompatibly
competence,incompetence
competent,incompetent
competent,incompetent
competently,incompetently
competition,cooperation
competitive,noncompetitive
competitively,noncompetitively
complain,cheer
complaining,uncomplaining
complainingly,uncomplainingly
complete,incomplete
completeness,incompleteness
complex,simple
complexity,simplicity
compliant,defiant
complicate,simplify
complimentary,uncomplimentary
composed,discomposed
composure,discomposure
compound,simple
comprehensibility,incomprehensibility
comprehensible,incomprehensible
comprehension,incomprehension
comprehensive,noncomprehensive
comprehensively,noncomprehensively
compress,decompress
compressibility,incompressibility
compressible,incompressible
compression,decompression
compression,decompression
compromising,uncompromising
con,pro
con,pro
concave,convex
concavely,convexly
concealed,unconcealed
concealing,revealing
conceit,humility
concentrated,distributed
concentration,dilution
concentration,distribution
concentric,eccentric
concentricity,eccentricity
concept,misconception
concern,unconcern
concerned,unconcerned
conciliatory,antagonistic
concise,prolix
conclusive,inconclusive
conclusively,inconclusively
concrete,abstract
concretely,abstractly
concreteness,abstractness
conditional,unconditional
conditionally,unconditionally
conditioned,unconditioned
conductive,nonconductive
conductor,insulator
confidence,diffidence
confident,diffident
confine,free
confined,invasive
confined,unconfined
confirm,negate
confirmed,unconfirmed
conform,deviate
conformist,nonconformist
conformist,nonconformist
conformity,noncompliance
conformity,nonconformism
conformity,nonconformity
conformity,nonconformity
confront,avoid
confused,clearheaded
congenial,uncongenial
congeniality,uncongeniality
congruent,incongruent
congruity,incongruity
congruity,incongruousness
congruous,incongruous
conjunct,disjunct
conjunctive,disjunctive
connate,adnate
connect,disconnect
connected,unconnected
connection,disconnectedness
connection,unconnectedness
connotative,denotative
conquerable,unconquerable
consanguinity,affinity
conscientious,unconscientious
conscientiousness,unconscientiousness
conscientiousness,unconscientiousness
conscious,unconscious
consciously,unconsciously
consciousness,unconsciousness
consecrate,desecrate
consecrated,desecrated
consequence,inconsequence
consequentially,inconsequentially
conservative,liberal
conservative,liberal
conserve,waste
considerable,inconsiderable
considerate,inconsiderate
considerately,inconsiderately
consideration,inconsideration
consideration,thoughtlessness
consistency,inconsistency
consistent,inconsistent
consolable,inconsolable
consonant,vowel
