9/11,9-11
A,a
AD,A.D.
Aachen,Aix-la-Chapelle
Aachen,Aken
Aalborg,Alborg
Aare,Aar
Ab,Av
Abkhaz,Abkhas
Abkhaz,Abkhas
Abkhaz,Abkhasian
Abkhaz,Abkhazia
Abkhaz,Abkhazian
Abkhaz,Abkhazian
Abkhazian,Abkhasian
Abnaki,Abenaki
Aborigine,Abo
Aborigine,Aboriginal
Abraham,Ibrahim
Achaean,Achaian
Achaean,Arcado-Cyprians
Acheronian,Acherontic
Acheronian,Stygian
Acocanthera,Acokanthera
Acre,Accho
Acre,Akka
Acre,Akko
Acrididae,Locustidae
Actiniaria,Actinaria
Adam,X
Adam,XTC
Adam,cristal
Adam,ecstasy
Adam,go
Adana,Seyhan
Adzhar,Adzharia
Aegina,Aigina
Aegospotami,Aegospotamos
Aegospotami,Aegospotamos
Aeolian,Eolian
Aeolic,Eolic
Aeolis,Aeolia
Aesculapius,Asclepius
Aesculapius,Asklepios
Afghan,Afghanistani
Afghani,Afghan
Afghani,Afghanistani
African-American,Afro-American
African-American,Afro-American
Afrikaans,Afrikaner
Afrikaans,Taal
Afrikaner,Afrikander
Afrikaner,Boer
Afroasiatic,Afrasian
Afroasiatic,Afro-Asiatic
Afroasiatic,Hamito-Semitic
Aga,Agha
Agenize,Agenise
Aghan,Margasivsa
Agkistrodon,Ancistrodon
Agrigento,Acragas
Aizoaceae,Tetragoniaceae
Akhenaton,Akhenaten
Akhenaton,Ikhanaton
Alabama,AL
Alabaman,Alabamian
Alar,daminozide
Alaska,AK
Albigenses,Cathari
Albigenses,Cathars
Albigensianism,Catharism
Alcyone,Halcyon
Aleut,Aleutian
Alexander,Alexanders
Algeria,Algerie
Algonkian,Algonkin
Algonkian,Algonkin
Algonquian,Algonkian
Algonquian,Algonquin
Algonquian,Algonquin
Algonquian,Algonquin
Alhazen,Alhacen
Alhazen,al-Haytham
Allen,Gracie
Almaty,Alma-Ata
Alsace,Alsatia
Alsace,Elsass
Amen,Amon
Amen,Amun
Amen-Ra,Amon-Ra
Americanization,Americanisation
Americanize,Americanise
Americanize,Americanise
Amerind,Indian
Amoebida,Amoebina
Amphicarpaea,Amphicarpa
Amphioxidae,Branchiostomidae
Amphisbaena,Amphisbaenia
Amur,Heilong
Andalusia,Andalucia
Angara,Tunguska
Angevin,Angevine
Angiospermae,Anthophyta
Angiospermae,Magnoliophyta
Anglesey,Anglesea
Anglesey,Mona
Anglicism,Briticism
Anglicism,Britishism
Anglicism,Britishism
Anglicization,Anglicisation
Anglo-French,Anglo-Norman
Anguillula,Turbatrix
Ankara,Angora
Annapurna,Anapurna
Annwfn,Annwn
Antalya,Adalia
Anthozoa,Actinozoa
Antigonus,Monophthalmos
Antioch,Antakiya
Antioch,Antakya
Antoninus,Aurelius
Antony,Anthony
Antony,Antonius
Antwerpen,Antwerp
Antwerpen,Anvers
Anubis,Anpu
Anunnaki,Enuki
Aphrodite,Cytherea
Aplysia,Tethys
Aplysiidae,Tethyidae
Apollo,Phoebus
April,Apr
Aquila,L'Aquila
Aquitaine,Aquitania
Arab,Arabian
Arabian,Arab
Araguaia,Araguaya
Aramean,Aramaean
Aramean,Aramaean
Aranea,Araneus
Araneae,Araneida
Arapaho,Arapahoe
Arapaho,Arapahoe
Aras,Araxes
Arawak,Arawakan
Arawak,Arawakan
Archean,Archaeozoic
Archean,Archeozoic
Argentine,Argentinian
Argiopidae,orb-weaver
Arhat,Arhant
Arhat,lohan
Arhus,Aarhus
Arianrhod,Arianrod
Aries,Ram
Aries,Ram
Arikara,Aricara
Arikara,Aricara
Aristotelian,Aristotelean
Aristotelian,Aristotelean
Aristotelian,Aristotelic
Aristotelian,Peripatetic
